method,evaluation_domain,dimension,level,samples,devices,device_macro_mae,point_mae,rmse,bias,p90_absolute_error,worst_device_mae
v10_only,v10,mode,long_no_knee,6269,68,6.202243804931641,6.449403762817383,8.423609679263572,-5.270267039544561,14.335762023925781,17.04529571533203
v10_only,v10,mode,regular_no_knee,11414,183,3.642200469970703,3.726973295211792,4.9907363833792395,-0.07610911835883866,7.687067413330084,11.04377269744873
v10_only,v10,mode,late_knee,4502,69,5.166966438293457,5.085435390472412,6.611131586776433,3.257385323837777,10.985773086547853,12.894432067871094
v10_only,v10,lifetime_quartile,Q1,3938,80,3.7236080169677734,3.7342255115509033,5.294536656058265,1.7442715715005834,7.747403526306155,12.894432067871094
v10_only,v10,lifetime_quartile,Q2,5006,80,4.118560791015625,4.148797035217285,5.592506791195255,1.3529703785336784,9.00495433807373,12.613259315490723
v10_only,v10,lifetime_quartile,Q3,5869,80,4.241065502166748,4.232877254486084,5.417986844403879,-0.03415629871457455,8.708460998535156,10.623208045959473
v10_only,v10,lifetime_quartile,Q4,7372,80,5.976714134216309,6.178594589233398,8.12487878477323,-4.433628956360285,13.633807945251466,17.04529571533203
v10_only,v15,overall,all,18247,320,28.7988224029541,28.34315299987793,34.42067133894163,9.922110135104708,56.80702940523626,81.43035125732422
v10_only,v15,cycle,7-15,2880,320,32.72074508666992,32.72074508666992,39.01026830394258,-1.1924178816543591,64.99996490478516,85.36485290527344
v10_only,v15,rul,>60,1711,126,32.286720275878906,31.280601501464844,38.96094044041523,-13.720607422990216,68.53602087497711,73.49999237060547
v10_only,v15,mode,long_no_knee,2118,25,23.0283203125,22.915197372436523,28.610824775031407,-3.080334775154035,46.67648753249957,42.94356155395508
v10_only,v15,mode,regular_no_knee,11381,228,29.6220703125,29.432178497314453,35.907069678612395,12.915173525196971,58.822364807128906,81.43035125732422
v10_only,v15,mode,early_knee,2141,32,28.173898696899414,28.096071243286133,33.06880528835362,11.475549183278979,53.32036590576172,53.5672721862793
v10_only,v15,mode,late_knee,2607,35,28.129100799560547,28.20168113708496,33.17938073510115,6.143518219165645,51.9996777815395,50.055904388427734
